Year,Company ,Category,Revenue,Gross Profit,Net Income,Share Holder Equity,Debt/Equity Ratio,ROI,Net Profit Margin,Gross margin %
2022,AAPL,IT,394328,170782,99803,50672,2.3695,66.6994,25.30964071,43.30963056
2021,AAPL,IT,365817,152836,94680,63090,1.9768,54.9839,25.88179336,41.77935963
2020,AAPL,IT,274515,104956,57411,65339,1.7208,35.0054,20.91361128,38.23324773
2019,AAPL,IT,260174,98392,55256,90488,1.194,30.3113,21.23809451,37.81776811
2018,AAPL,IT,265595,101839,59531,107147,1.0685,29.6348,22.41420207,38.34371882
2017,AAPL,IT,229234,88186,48351,134047,0.863,20.9082,21.09242085,38.46986049
2016,AAPL,IT,215639,84263,45687,128249,0.6786,22.4312,21.18679831,39.07595565
2015,AAPL,IT,233715,93626,53394,119355,0.539,30.9201,22.8457737,40.05990202
2014,AAPL,IT,182795,70537,39510,111547,0.3164,28.1142,21.61437676,38.58803578
2013,AAPL,IT,170910,64304,37037,123549,0.1373,26.3592,21.67046984,37.62448072
2012,AAPL,IT,156508,68662,41733,118210,0,35.3041,26.6650906,43.87123981
2011,AAPL,IT,108249,43818,25922,76615,0,33.8341,23.94664154,40.47889588
2010,AAPL,IT,65225,25684,14013,47791,0,29.3214,21.48409352,39.37753929
2009,AAPL,IT,42905,17222,8235,31640,0,26.0272,19.19356718,40.13984384
2023,MSFT,IT,211915,146052,72361,206223,0.2291,29.1528,34.14623788,68.92008588
2022,MSFT,IT,198270,135620,72738,166542,0.2989,34.0575,36.68633681,68.40167448
2021,MSFT,IT,168088,115856,61271,141988,0.4095,31.9017,36.45173956,68.92580077
2020,MSFT,IT,143015,96937,44281,118304,0.5353,24.8935,30.96248645,67.78100199
2019,MSFT,IT,125843,82933,39240,102330,0.7053,23.22,31.18171054,65.9019572
2018,MSFT,IT,110360,72007,16571,82718,0.9217,10.6937,15.01540413,65.24737224
2017,MSFT,IT,96571,62310,25489,87711,0.9827,15.5626,26.39405204,64.52247569
2016,MSFT,IT,91154,58374,20539,71997,0.7425,18.2481,22.53219826,64.03887926
2015,MSFT,IT,93580,60542,12193,80083,0.4407,11.3012,13.02949348,64.69544775
2014,MSFT,IT,86833,59755,22074,89784,0.2522,19.9893,25.42121083,68.81600313
2013,MSFT,IT,77849,57464,21863,78944,0.1976,23.8822,28.08385464,73.81469255
2012,MSFT,IT,73723,56193,16978,66363,0.18,22.0276,23.02944807,76.22180324
2011,MSFT,IT,69943,54366,23150,57083,0.2088,33.5488,33.09838011,77.72900791
2010,MSFT,IT,62484,50089,18760,46175,0.1286,36.7023,30.02368606,80.16292171
2009,MSFT,IT,58437,46282,14569,39558,0.1453,33.6435,24.93112241,79.19982203
2022,GOOG,IT,282836,156633,59972,256144,0.0574,22.1426,21.20380715,55.3794425
2021,GOOG,IT,257637,146698,76033,251635,0.0589,28.5354,29.51167728,56.9398029
2020,GOOG,IT,182527,97795,40269,222544,0.0626,17.0288,22.06194152,53.57837471
2019,GOOG,IT,161857,89961,34343,201442,0.0226,16.6717,21.21811228,55.58054332
2018,GOOG,IT,136819,77270,30736,177628,0.0226,16.9214,22.46471616,56.47607423
2017,GOOG,IT,110855,65272,12662,152502,0.026,8.0922,11.42212801,58.8805196
2016,GOOG,IT,90272,55134,19478,139036,0.0283,13.6237,21.5770117,61.07541652
2015,GOOG,IT,74989,46825,15826,120331,0.0434,13.3643,21.10442865,62.44249157
2014,GOOG,IT,66001,40310,14136,103860,0.0504,12.7185,21.41785731,61.0748322
2013,GOOG,IT,55519,33526,12733,87309,0.0601,14.6965,22.9344909,60.38653434
2012,GOOG,IT,46039,28863,10737,71715,0.0772,15.4652,23.32153174,62.69249984
2011,GOOG,IT,37905,24717,9737,58145,0.0723,15.9281,25.68790397,65.20775623
2010,GOOG,IT,29321,18904,8505,46241,0.0749,18.3928,29.0065141,64.47256233
2009,GOOG,IT,23651,14807,6520,36004,0,18.1091,27.56754471,62.60623229
2022,PYPL,FinTech,27518,11653,2419,20274,0.5138,7.8818,8.790609783,42.34682753
2021,PYPL,FinTech,25371,11921,4169,21727,0.3705,14.0012,16.43214694,46.98671712
2020,PYPL,FinTech,21454,10001,4202,20063,0.4455,14.4887,19.58609117,46.61601566
2019,PYPL,FinTech,17772,7987,2459,16929,0.2933,11.2314,13.83637182,44.94148098
2018,PYPL,FinTech,15451,7189,2057,15386,0.1299,13.3693,13.31305417,46.52773283
2017,PYPL,FinTech,13094,6399,1795,15994,0.0625,11.223,13.70856881,48.86971132
2016,PYPL,FinTech,10842,5141,1401,14712,0,9.5228,12.92197012,47.41745065
2015,PYPL,FinTech,9248,4719,1228,13759,0,8.9251,13.27854671,51.02724913
2014,PYPL,FinTech,8025,4218,419,8248,0.1325,5.08,5.221183801,52.56074766
2022,AIG,Bank,56437,20762,10247,42235,0.6435,16.2446,18.15652852,36.78792282
2021,AIG,Bank,52057,15322,9359,68912,0.4377,10.0157,17.97836986,29.43312139
2020,AIG,Bank,43736,6912,-5973,67199,0.5586,-5.5694,-13.65694165,15.8039144
2019,AIG,Bank,49746,11975,3326,67427,0.5243,4.0097,6.685964701,24.07228722
2018,AIG,Bank,47389,6921,-6,57309,0.6027,0.1121,-0.012661166,14.60465509
2017,AIG,Bank,49520,6849,-6084,65708,0.4815,-6.2251,-12.28594507,13.83077544
2016,AIG,Bank,52367,5236,-849,76858,0.4022,-0.2403,-1.621250024,9.99866328
2015,AIG,Bank,58327,10565,2196,90210,0.3242,1.8601,3.764980198,18.11339517
2014,AIG,Bank,64406,19219,7529,107272,0.291,5.469,11.68990467,29.84038754
2013,AIG,Bank,68874,21915,9085,101081,0.4125,6.3093,13.19075413,31.81897378
2012,AIG,Bank,71214,21825,3438,98669,0.4915,2.5134,4.827702418,30.64706378
2011,AIG,Bank,65105,18692,19810,102393,0.7349,10.6183,30.42777052,28.71054451
2010,AIG,Bank,72829,16787,2046,113239,0.7548,6.6699,2.809320463,23.04988397
2009,AIG,Bank,75447,18614,-12244,98076,1.1552,-6.0641,-16.22861081,24.67162379
2022,PCG,Manufacturing,21680,16824,1800,23075,2.2563,2.5615,8.302583026,77.60147601
